City ID,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
464,kamloops,CA,75,1632165350,63,50.6665,-120.3192,58.19,3.44
465,marovoay,MG,64,1632165402,52,-16.1,46.6333,75.34,8.08
466,pangody,RU,100,1632165403,95,65.85,74.4859,34.47,15.97
467,keti bandar,PK,29,1632165403,83,24.1447,67.4497,82.89,18.34
468,yekaterinovka,RU,100,1632165404,84,52.0508,44.3451,45.28,17.31
469,turiacu,BR,70,1632165404,60,-1.6633,-45.3717,84.97,8.48
470,mugan,CN,0,1632165405,35,35.9404,101.3842,46.42,3.85
471,porto novo,BJ,100,1632165405,83,6.4965,2.6036,78.62,5.82
472,campbell river,CA,90,1632165353,100,50.0163,-125.2446,56.12,9.22
473,port hardy,CA,90,1632165406,94,50.6996,-127.4199,53.78,13.8
474,comodoro rivadavia,AR,0,1632165183,38,-45.8667,-67.5,58.86,13.8
475,gamba,GA,91,1632165406,80,-2.65,10.0,75.02,5.39
476,kaiyuan,CN,97,1632165407,95,23.6977,103.3037,64.58,2.06
477,yuzhno-sukhokumsk,RU,98,1632165407,46,44.6581,45.6436,71.01,5.21
478,buraydah,SA,0,1632165166,16,26.326,43.975,88.25,10.36
479,sayyan,YE,49,1632165408,26,15.1718,44.3244,68.11,1.95
480,ketchikan,US,90,1632165403,93,55.3422,-131.6461,52.27,18.41
481,luga,RU,100,1632165409,79,58.7372,29.8453,40.8,11.61
482,williams lake,CA,75,1632165350,66,52.1415,-122.1445,53.17,9.22
483,marawi,PH,79,1632165410,94,7.9986,124.2928,68.63,2.57
484,sao joao da barra,BR,5,1632165410,80,-21.6403,-41.0511,78.89,17.02
485,steamboat springs,US,90,1632165411,75,40.485,-106.8317,53.53,0.0
486,lujiang,CN,0,1632165411,96,31.2581,117.2817,66.25,7.34
487,isiro,CD,47,1632165412,89,2.7739,27.616,68.99,1.88
488,cap malheureux,MU,33,1632165412,72,-19.9842,57.6142,70.29,21.34
489,hvide sande,DK,90,1632165413,61,56.0045,8.1294,52.09,3.6
490,ola,RU,87,1632165413,82,59.5833,151.2833,43.81,10.92
491,chupa,RU,7,1632165414,88,66.27,33.0549,35.89,4.29
492,deputatskiy,RU,51,1632165415,93,69.3,139.9,18.88,3.09
493,ukiah,US,1,1632165415,33,39.1502,-123.2078,75.09,3.44
494,kawalu,ID,99,1632165416,95,-7.3817,108.2082,69.17,1.36
495,helena,US,75,1632165241,47,46.5927,-112.0361,52.79,17.27
496,caravelas,BR,9,1632165417,63,-17.7125,-39.2481,78.96,7.4
497,yinchuan,CN,0,1632165417,23,38.4681,106.2731,68.25,7.96
498,iberia,US,1,1632165418,61,29.9502,-91.7507,85.96,6.91
499,thinadhoo,MV,89,1632165418,74,0.5333,72.9333,83.12,9.46
500,xochistlahuaca,MX,7,1632165419,58,16.7833,-98.25,88.41,5.66
501,hirara,JP,13,1632165419,79,24.8,125.2833,82.89,5.39
502,vao,NC,86,1632165420,61,-22.6667,167.4833,70.07,18.63
503,zhezkazgan,KZ,0,1632165420,40,47.8043,67.7144,47.95,9.19
504,castanos,MX,1,1632165421,20,26.7833,-101.4167,92.79,8.05
505,champerico,GT,100,1632165421,74,14.3,-91.9167,95.54,8.23
506,taldan,RU,0,1632165421,95,53.6667,124.8,43.23,2.3
507,inta,RU,100,1632165422,86,66.0317,60.1659,36.05,11.63
508,heide,DE,100,1632165423,69,54.2,9.1,51.89,3.91
